,Event,Gender,Location,Year,Medal,Name,Nationality,Result
1265,4X100M Relay,M,Moscow,1980,B,,FRA,38.53
1266,400M,M,Moscow,1980,B,Frank SCHAFFER,GDR,44.87
1267,400M,M,Moscow,1980,G,Viktor MARKIN,URS,44.6
1268,Discus Throw,W,Moscow,1980,G,Evelin SCHLAAK-JAHL,GDR,69.96
1269,Discus Throw,W,Moscow,1980,S,Maria VERGOVA-PETKOVA,BUL,67.9
1270,Discus Throw,W,Moscow,1980,B,Tatiana LESOVAIA,URS,67.4
1271,Decathlon,M,Moscow,1980,G,Daley THOMPSON,GBR,8495.0
1272,Decathlon,M,Moscow,1980,S,Yuri KUTSENKO,URS,8331.0
1273,Decathlon,M,Moscow,1980,B,Sergei ZHELANOV,URS,8135.0
1274,400M Hurdles,M,Moscow,1980,B,Gary OAKES,GBR,49.11
1275,400M Hurdles,M,Moscow,1980,S,Vasili ARKHIPENKO,URS,48.86
1276,400M,M,Moscow,1980,S,Rick MITCHELL,AUS,44.84
1277,800M,W,Moscow,1980,B,Tatiana PROVIDOKHINA,URS,1:55.5
1278,800M,M,Moscow,1980,B,Nikolai KIROV,URS,1:46.0
1279,800M,M,Moscow,1980,S,Sebastian COE,GBR,1:45.9
1280,50Km Race Walk,M,Moscow,1980,G,Hartwig GAUDER,GDR,3:49:24.0
1281,50Km Race Walk,M,Moscow,1980,S,Jorge LLOPART,ESP,3:51:25.0
1282,50Km Race Walk,M,Moscow,1980,B,Yevgeny Mikhaylovich IVCHENKO,URS,3:56:32.0
1283,4X400M Relay,W,Moscow,1980,G,,URS,3:20.2
1284,4X400M Relay,W,Moscow,1980,S,,GDR,3:20.4
1285,4X400M Relay,W,Moscow,1980,B,,GBR,3:27.5
1286,5000M,M,Moscow,1980,B,Kaarlo MAANINKA,FIN,13:22.0
1287,5000M,M,Moscow,1980,S,Suleiman NYAMBUI,TAN,13:21.6
1288,5000M,M,Moscow,1980,G,Miruts YIFTER,ETH,13:21.0
1289,100M,W,Moscow,1980,B,Ingrid AUERSWALD-LANGE,GDR,11.14
1290,100M,W,Moscow,1980,S,Marlies OELSNER-GÃHR,GDR,11.07
1291,100M,W,Moscow,1980,G,Lyudmila KONDRATYEVA,URS,11.06
1292,4X400M Relay,M,Moscow,1980,B,,ITA,3:04.3
1293,4X400M Relay,M,Moscow,1980,S,,GDR,3:01.3
1294,4X400M Relay,M,Moscow,1980,G,,URS,3:01.1
1295,800M,W,Moscow,1980,G,Nadezhda OLIZARENKO,URS,1:53.5
1296,800M,W,Moscow,1980,S,Olga MINEEVA,URS,1:54.9
1297,4X100M Relay,W,Moscow,1980,B,,GBR,42.43
1298,4X100M Relay,W,Moscow,1980,S,,URS,42.1
1299,4X100M Relay,W,Moscow,1980,G,,GDR,41.6
1300,800M,M,Moscow,1980,G,Steve OVETT,GBR,1:45.4
1301,400M Hurdles,M,Moscow,1980,G,Volker BECK,GDR,48.7
1302,110M Hurdles,M,Moscow,1980,G,Thomas MUNKELT,GDR,13.39
1303,Long Jump,M,Moscow,1980,G,Lutz DOMBROWSKI,GDR,8.54
1304,3000M Steeplechase,M,Moscow,1980,B,Eshetu TURA,ETH,08:13.6
1305,Hammer Throw,M,Moscow,1980,G,Yuri SEDYKH,URS,81.8
1306,Hammer Throw,M,Moscow,1980,B,Yuri TAMM,URS,78.96
1307,200M,M,Moscow,1980,B,Donald QUARRIE,JAM,20.29
1308,200M,M,Moscow,1980,S,Allan WELLS,GBR,20.21
1309,200M,M,Moscow,1980,G,Pietro MENNEA,ITA,20.19
1310,Shot Put,M,Moscow,1980,B,Udo BEYER,GDR,21.06
1311,Javelin Throw,W,Moscow,1980,G,Maria COLON,CUB,68.4
1312,Javelin Throw,W,Moscow,1980,S,Saida GUNBA,URS,67.76
1313,Javelin Throw,W,Moscow,1980,B,Ute HOMMOLA,GDR,66.56
1314,1500M,M,Moscow,1980,B,Steve OVETT,GBR,3:39.0
1315,1500M,M,Moscow,1980,S,JÃ¼rgen STRAUB,GDR,3:38.8
1316,1500M,M,Moscow,1980,G,Sebastian COE,GBR,3:38.4
1317,200M,W,Moscow,1980,B,Merlene OTTEY,JAM,22.2
1318,200M,W,Moscow,1980,S,Natalia BOCHINA,URS,22.19
1319,200M,W,Moscow,1980,G,BÃ¤rbel ECKERT-WÃCKEL,GDR,22.03
1320,High Jump,M,Moscow,1980,G,Gerd WESSIG,GDR,2.36
1321,High Jump,M,Moscow,1980,S,Jacek WSZOLA,POL,2.31
1322,High Jump,M,Moscow,1980,B,JÃ¶rg FREIMUTH,GDR,2.31
1323,110M Hurdles,M,Moscow,1980,B,Aleksandr PUCHKOV,URS,13.44
1324,Shot Put,M,Moscow,1980,S,Aleksandr BARYSHNIKOV,URS,21.08
1325,Shot Put,M,Moscow,1980,G,Vladimir KISELEV,URS,21.35
1326,Hammer Throw,M,Moscow,1980,S,Sergey LITVINOV,URS,80.64
1327,High Jump,W,Moscow,1980,G,Sara SIMEONI,ITA,1.97
1328,100M Hurdles,W,Moscow,1980,B,Lucyna LANGER,POL,12.65
1329,High Jump,W,Moscow,1980,B,Jutta KIRST,GDR,1.94
1330,20Km Race Walk,M,Moscow,1980,B,Roland WIESER,GDR,1:25:58.2
1331,Discus Throw,M,Moscow,1980,G,Viktor RASHCHUPKIN,URS,66.64
1332,400M,W,Moscow,1980,G,Marita KOCH,GDR,48.88
1333,Discus Throw,M,Moscow,1980,B,Luis DELIS,CUB,66.32
1334,400M,W,Moscow,1980,S,Jarmila KRATOHVILOVA,TCH,49.46
1335,20Km Race Walk,M,Moscow,1980,G,Maurizio DAMILANO,ITA,1:23:35.5
1336,400M,W,Moscow,1980,B,Christina BREHMER-LATHAN,GDR,49.66
1337,3000M Steeplechase,M,Moscow,1980,G,Bronislaw MALINOWSKI,POL,08:09.7
1338,3000M Steeplechase,M,Moscow,1980,S,Filbert BAYI,TAN,08:12.5
1339,20Km Race Walk,M,Moscow,1980,S,Piotr POCHINCHUK,URS,1:24:45.4
1340,Discus Throw,M,Moscow,1980,S,Imrich BUGÃR,TCH,66.38
1341,100M,W,Los Angeles,1984,B,Merlene OTTEY,JAM,11.16
1342,Shot Put,M,Los Angeles,1984,G,Alessandro ANDREI,ITA,21.26
1343,1500M,W,Los Angeles,1984,G,Gabriella DORIO,ITA,4:03.25
1344,100M,W,Los Angeles,1984,G,Evelyn ASHFORD,USA,10.97
1345,100M Hurdles,W,Los Angeles,1984,B,Kim TURNER,USA,13.06
1346,Marathon,M,Los Angeles,1984,S,John TREACY,IRL,2:09:56
1347,Marathon,M,Los Angeles,1984,B,Charles SPEDDING,GBR,2:09:58
1348,100M Hurdles,W,Los Angeles,1984,G,Benita FITZGERALD-BROWN,USA,12.84
1349,100M Hurdles,W,Los Angeles,1984,S,Shirley STRONG,GBR,12.88
1350,100M Hurdles,W,Los Angeles,1984,B,MichÃ¨le CHARDONNET,FRA,13.06
1351,Shot Put,M,Los Angeles,1984,B,Dave LAUT,USA,20.97
1352,100M,W,Los Angeles,1984,S,Alice BROWN,USA,11.13
1353,Marathon,M,Los Angeles,1984,G,Carlos LOPES,POR,2:09:21
1354,Shot Put,M,Los Angeles,1984,S,Michael D'Andrea CARTER,USA,21.09
1355,5000M,M,Los Angeles,1984,S,Markus RYFFEL,SUI,13:07.54
1356,1500M,W,Los Angeles,1984,B,Maricica PUICA,ROU,4:04.15
1357,400M,M,Los Angeles,1984,G,Alonzo BABERS,USA,44.27
1358,400M,M,Los Angeles,1984,S,Gabriel TIACOH,CIV,44.54
1359,400M,M,Los Angeles,1984,B,Antonio MCKAY,USA,44.71
1360,4X100M Relay,M,Los Angeles,1984,G,,USA,37.83
1361,4X100M Relay,M,Los Angeles,1984,S,,JAM,38.62
1362,4X100M Relay,M,Los Angeles,1984,B,,CAN,38.7
1363,Discus Throw,W,Los Angeles,1984,B,Florenta CRACIUNESCU,ROU,63.64
1364,1500M,W,Los Angeles,1984,S,Doina MELINTE,ROU,4:03.76
1365,Discus Throw,W,Los Angeles,1984,G,Ria STALMAN,NED,65.36
1366,4X400M Relay,M,Los Angeles,1984,G,,USA,2:57.91
1367,4X400M Relay,M,Los Angeles,1984,S,,GBR,2:59.13
1368,4X400M Relay,M,Los Angeles,1984,B,,NGR,2:59.32
1369,5000M,M,Los Angeles,1984,G,SaÃ¯d AOUITA,MAR,13:05.59
1370,Heptathlon,W,Los Angeles,1984,G,Glynis NUNN,AUS,6390.0
1371,5000M,M,Los Angeles,1984,B,AntÃ³nio LEITÃO,POR,13:09.20
1372,800M,W,Los Angeles,1984,S,Kim GALLAGHER,USA,1:58.63
1373,800M,W,Los Angeles,1984,G,Doina MELINTE,ROU,1:57.60
1374,50Km Race Walk,M,Los Angeles,1984,G,RaÃºl GONZÃLEZ,MEX,3:47:26
1375,50Km Race Walk,M,Los Angeles,1984,S,Bo GUSTAFSSON,SWE,3:53:19
1376,50Km Race Walk,M,Los Angeles,1984,B,Sandro BELLUCCI,ITA,3:53:45
1377,4X400M Relay,W,Los Angeles,1984,B,,FRG,3:22.98
1378,4X400M Relay,W,Los Angeles,1984,S,,CAN,3:21.21
1379,4X400M Relay,W,Los Angeles,1984,G,,USA,3:18.29
1380,800M,M,Los Angeles,1984,G,Joaquim CRUZ,BRA,1:43.00
1381,800M,M,Los Angeles,1984,S,Sebastian COE,GBR,1:43.64
1382,800M,M,Los Angeles,1984,B,Earl JONES,USA,1:43.83
1383,Decathlon,M,Los Angeles,1984,G,Daley THOMPSON,GBR,8798.0
1384,Decathlon,M,Los Angeles,1984,S,JÃ¼rgen HINGSEN,FRG,8673.0
1385,800M,W,Los Angeles,1984,B,Fita LOVIN,ROU,1:58.83
1386,Heptathlon,W,Los Angeles,1984,S,Jackie JOYNER,USA,6385.0
1387,Heptathlon,W,Los Angeles,1984,B,Sabine EVERTS,FRG,6363.0
1388,400M Hurdles,M,Los Angeles,1984,B,Harald SCHMID,FRG,48.19
1389,10000M,M,Los Angeles,1984,G,Alberto COVA,ITA,27:47.54
1390,10000M,M,Los Angeles,1984,S,Michael MCLEOD,GBR,28:06.22
1391,10000M,M,Los Angeles,1984,B,Michael MUSYOKI,KEN,28:06.46
1392,Shot Put,W,Los Angeles,1984,B,Gael MARTIN,AUS,19.19
1393,Shot Put,W,Los Angeles,1984,S,Mihaela LOGHIN,ROU,20.47
1394,100M,M,Los Angeles,1984,G,Carl LEWIS,USA,9.99
1395,100M,M,Los Angeles,1984,S,Sam GRADDY,USA,10.19
1396,100M,M,Los Angeles,1984,B,Ben JOHNSON,CAN,10.22
1397,Shot Put,W,Los Angeles,1984,G,Claudia LOSCH,FRG,20.48
1398,Marathon,W,Los Angeles,1984,B,Rosa MOTA,POR,2:26:57
1399,Marathon,W,Los Angeles,1984,S,Grete ANDERSEN,NOR,2:26:18
1400,Marathon,W,Los Angeles,1984,G,Joan BENOIT,USA,2:24:52
1401,110M Hurdles,M,Los Angeles,1984,G,Roger KINGDOM,USA,13.2
1402,110M Hurdles,M,Los Angeles,1984,S,Greg FOSTER,USA,13.23
1403,110M Hurdles,M,Los Angeles,1984,B,Arto BRYGGARE,FIN,13.4
1404,1500M,M,Los Angeles,1984,G,Sebastian COE,GBR,3:32.53
1405,1500M,M,Los Angeles,1984,S,Steve CRAM,GBR,3:33.40
1406,1500M,M,Los Angeles,1984,B,JosÃ© Manuel ABASCAL,ESP,3:34.30
1407,200M,M,Los Angeles,1984,G,Carl LEWIS,USA,19.8
1408,200M,M,Los Angeles,1984,S,Kirk BAPTISTE,USA,19.96
1409,200M,M,Los Angeles,1984,B,Thomas JEFFERSON,USA,20.26
1410,20Km Race Walk,M,Los Angeles,1984,G,Ernesto CANTO,MEX,1:23:13
1411,20Km Race Walk,M,Los Angeles,1984,S,RaÃºl GONZÃLEZ,MEX,1:23:20
1412,20Km Race Walk,M,Los Angeles,1984,B,Maurizio DAMILANO,ITA,1:23:26
1413,3000M Steeplechase,M,Los Angeles,1984,G,Julius KORIR,KEN,8:11.80
1414,3000M Steeplechase,M,Los Angeles,1984,S,Joseph MAHMOUD,FRA,8:13.31
1415,3000M Steeplechase,M,Los Angeles,1984,B,Brian Lee DIEMER,USA,8:14.06
1416,400M Hurdles,M,Los Angeles,1984,G,Edwin MOSES,USA,47.75
1417,400M Hurdles,M,Los Angeles,1984,S,Danny HARRIS,USA,48.13
1418,Decathlon,M,Los Angeles,1984,B,Siegfried WENTZ,FRG,8412.0
1419,4X100M Relay,W,Los Angeles,1984,B,,GBR,43.11
1420,Discus Throw,W,Los Angeles,1984,S,Leslie DENIZ,USA,64.86
1421,4X100M Relay,W,Los Angeles,1984,G,,USA,41.65
1422,400M,W,Los Angeles,1984,G,Valerie BRISCO,USA,48.83
1423,400M,W,Los Angeles,1984,S,Chandra CHEESEBOROUGH,USA,49.05
1424,400M,W,Los Angeles,1984,B,Kathryn SMALLWOOD-COOK,GBR,49.42
1425,Javelin Throw,M,Los Angeles,1984,G,Arto HÃRKÃNEN,FIN,86.76
1426,Javelin Throw,M,Los Angeles,1984,S,David OTTLEY,GBR,85.74
1427,Javelin Throw,M,Los Angeles,1984,B,Kenth ELDEBRINK,SWE,83.72
1428,400M Hurdles,W,Los Angeles,1984,B,Cristina COJOCARU,ROU,55.41
1429,400M Hurdles,W,Los Angeles,1984,S,Judi BROWN,USA,55.2
1430,200M,W,Los Angeles,1984,B,Merlene OTTEY,JAM,22.09
1431,200M,W,Los Angeles,1984,S,Florence GRIFFITH JOYNER,USA,22.04
1432,200M,W,Los Angeles,1984,G,Valerie BRISCO,USA,21.81
1433,Discus Throw,M,Los Angeles,1984,S,Mac WILKINS,USA,66.3
1434,Discus Throw,M,Los Angeles,1984,G,Rolf DANNEBERG,FRG,66.6
1435,400M Hurdles,W,Los Angeles,1984,G,Nawal EL MOUTAWAKEL,MAR,54.61
1436,Discus Throw,M,Los Angeles,1984,B,John POWELL,USA,65.46
1437,4X100M Relay,W,Los Angeles,1984,S,,CAN,42.77
1438,20Km Race Walk,M,Seoul,1988,G,Jozef PRIBILINEC,TCH,1:19:57
1439,Marathon,M,Seoul,1988,G,Gelindo BORDIN,ITA,2:10:32
1440,Marathon,M,Seoul,1988,S,Douglas WAKIIHURI,KEN,2:10:47
1441,Marathon,M,Seoul,1988,B,Hussein AHMED SALAH,DJI,2:10:59
1442,Heptathlon,W,Seoul,1988,G,Jackie JOYNER,USA,7291 P.
1443,Marathon,W,Seoul,1988,G,Rosa MOTA,POR,2:25:40
1444,Marathon,W,Seoul,1988,S,Lisa ONDIEKI,AUS,2:25:53
1445,Marathon,W,Seoul,1988,B,Katrin DÃRRE,GDR,2:26:21
1446,20Km Race Walk,M,Seoul,1988,S,Ronald WEIGEL,GDR,1:20:00
1447,Heptathlon,W,Seoul,1988,B,Anke BEHMER,GDR,6858.0
1448,Heptathlon,W,Seoul,1988,S,Sabine JOHN,GDR,6897.0
1449,50Km Race Walk,M,Seoul,1988,G,Vyacheslav IVANENKO,URS,3:38:29
1450,50Km Race Walk,M,Seoul,1988,S,Ronald WEIGEL,GDR,3:38:56
1451,50Km Race Walk,M,Seoul,1988,B,Hartwig GAUDER,GDR,3:39:45
1452,Decathlon,M,Seoul,1988,G,Christian SCHENK,GDR,8488.0
1453,Decathlon,M,Seoul,1988,S,Torsten VOSS,GDR,8399.0
1454,Decathlon,M,Seoul,1988,B,Dave STEEN,CAN,8328.0
1455,20Km Race Walk,M,Seoul,1988,B,Maurizio DAMILANO,ITA,1:20:14
1456,20Km Race Walk,M,Barcelona,1992,G,Daniel PLAZA,ESP,1:21:45
1457,1500M,W,Barcelona,1992,S,Lyudmila ROGACHOVA,EUN,3:56.91
1458,20Km Race Walk,M,Barcelona,1992,S,Guillaume LEBLANC,CAN,1:22:25
1459,Javelin Throw,W,Barcelona,1992,S,Natalia SHIKOLENKO,EUN,68.26
1460,20Km Race Walk,M,Barcelona,1992,B,Giovanni DE BENEDICTIS,ITA,1:23:11
1461,400M Hurdles,M,Barcelona,1992,G,Kevin YOUNG,USA,46.78
1462,Javelin Throw,W,Barcelona,1992,B,Karen FORKEL,GER,66.86
1463,1500M,W,Barcelona,1992,B,Yunxia QU,CHN,3:57.08
1464,100M,W,Barcelona,1992,G,Gail DEVERS,USA,10.82
1465,High Jump,W,Barcelona,1992,B,Joanet QUINTERO,CUB,1.97
1466,100M,W,Barcelona,1992,B,Irina PRIVALOVA,EUN,10.84
1467,1500M,W,Barcelona,1992,G,Hassiba BOULMERKA,ALG,3:55.30
1468,Javelin Throw,W,Barcelona,1992,G,Silke RENK,GER,68.34
1469,High Jump,W,Barcelona,1992,S,Galina ASTAFEI,ROU,2.0
1470,Shot Put,M,Barcelona,1992,S,Jim DOEHRING,USA,20.96
1471,Shot Put,M,Barcelona,1992,B,Vyacheslav LYKHO,EUN,20.94
1472,200M,M,Barcelona,1992,B,Michael BATES,USA,20.38
1473,3000M Steeplechase,M,Barcelona,1992,G,Matthew BIRIR,KEN,8:08.84
1474,3000M Steeplechase,M,Barcelona,1992,S,Patrick SANG,KEN,8:09.55
1475,3000M Steeplechase,M,Barcelona,1992,B,William MUTWOL,KEN,8:10.74
1476,High Jump,W,Barcelona,1992,G,Heike HENKEL,GER,2.02
1477,High Jump,M,Barcelona,1992,B,Hollis CONWAY,USA,2.34
1478,High Jump,M,Barcelona,1992,B,Artur PARTYKA,POL,2.34
1479,High Jump,M,Barcelona,1992,B,Tim FORSYTH,AUS,2.34
1480,100M,W,Barcelona,1992,S,Juliet CUTHBERT,JAM,10.83
1481,200M,M,Barcelona,1992,S,Frank FREDERICKS,NAM,20.13
1482,Long Jump,W,Barcelona,1992,B,Jackie JOYNER,USA,7.07
1483,Long Jump,W,Barcelona,1992,G,Heike DRECHSLER,GER,7.14
1484,100M Hurdles,W,Barcelona,1992,G,Voula PATOULIDOU,GRE,12.64
1485,Shot Put,W,Barcelona,1992,S,Zhihong HUANG,CHN,20.47
1486,Shot Put,W,Barcelona,1992,B,Kathrin NEIMKE,GER,19.78
1487,200M,W,Barcelona,1992,B,Merlene OTTEY,JAM,22.09
1488,200M,W,Barcelona,1992,S,Juliet CUTHBERT,JAM,22.02
1489,200M,W,Barcelona,1992,G,Gwen TORRENCE,USA,21.81
1490,Long Jump,M,Barcelona,1992,G,Carl LEWIS,USA,8.67
1491,100M Hurdles,W,Barcelona,1992,S,LaVonna MARTIN,USA,12.69
1492,100M,M,Barcelona,1992,B,Dennis MITCHELL,USA,10.04
1493,100M,M,Barcelona,1992,G,Linford CHRISTIE,GBR,9.96
1494,Long Jump,M,Barcelona,1992,S,Mike POWELL,USA,8.64
1495,Long Jump,M,Barcelona,1992,B,Joe GREENE,USA,8.34
1496,10000M,M,Barcelona,1992,B,Addis ABEBE,ETH,28:00.07
1497,10000M,M,Barcelona,1992,S,Richard CHELIMO,KEN,27:47.72
1498,10000M,M,Barcelona,1992,G,Khalid SKAH,MAR,27:46.70
1499,10000M,W,Barcelona,1992,B,Lynn JENNINGS,USA,31:19.89
1500,100M,M,Barcelona,1992,S,Frank FREDERICKS,NAM,10.02
1501,200M,M,Barcelona,1992,G,Michael MARSH,USA,20.01
1502,100M Hurdles,W,Barcelona,1992,B,Yordanka DONKOVA,BUL,12.7
1503,Marathon,W,Barcelona,1992,B,Lorraine MOLLER,NZL,2:33:59
1504,Javelin Throw,M,Barcelona,1992,G,Jan Å½ELEZNÃ,TCH,89.66
1505,Javelin Throw,M,Barcelona,1992,S,Seppo RÃTY,FIN,86.6
1506,Javelin Throw,M,Barcelona,1992,B,Steve BACKLEY,GBR,83.38
1507,1500M,M,Barcelona,1992,B,Mohamed Ahmed SULAIMAN,QAT,3:40.69
1508,1500M,M,Barcelona,1992,S,Rachid EL BASIR,MAR,3:40.62
1509,1500M,M,Barcelona,1992,G,Fermin CACHO RUIZ,ESP,3:40.12
1510,Long Jump,W,Barcelona,1992,S,Inessa KRAVETS,EUN,7.12
1511,Shot Put,W,Barcelona,1992,G,Svetlana KRIVELYOVA,EUN,21.06
1512,400M Hurdles,M,Barcelona,1992,S,Winthrop GRAHAM,JAM,47.66
1513,Triple Jump,M,Barcelona,1992,G,Mike CONLEY,USA,18.17
1514,Triple Jump,M,Barcelona,1992,S,Charles SIMPKINS,USA,17.6
1515,Triple Jump,M,Barcelona,1992,B,Frank RUTHERFORD,BAH,17.36
1516,110M Hurdles,M,Barcelona,1992,S,Tony DEES,USA,13.24
1517,110M Hurdles,M,Barcelona,1992,G,Mark MCKOY,CAN,13.12
1518,Marathon,W,Barcelona,1992,G,Valentina YEGOROVA,EUN,2:32:41
1519,Marathon,W,Barcelona,1992,S,Yuko ARIMORI,JPN,2:32:49
1520,110M Hurdles,M,Barcelona,1992,B,Jack PIERCE,USA,13.26
1521,400M Hurdles,M,Barcelona,1992,B,Kriss AKABUSI,GBR,47.82
1522,Shot Put,M,Barcelona,1992,G,Mike STULCE,USA,21.7
1523,Marathon,M,Barcelona,1992,G,Young-Cho HWANG,KOR,2:13:23
1524,800M,W,Barcelona,1992,G,Ellen VAN LANGEN,NED,1:55.54
1525,Pole Vault,M,Barcelona,1992,G,Maksim TARASOV,EUN,5.8
1526,Pole Vault,M,Barcelona,1992,S,Igor TRANDENKOV,EUN,5.8
1527,Pole Vault,M,Barcelona,1992,B,Javier GARCÃA,ESP,5.75
1528,High Jump,M,Barcelona,1992,S,Patrik SJÃBERG,SWE,2.34
1529,800M,W,Barcelona,1992,S,Liliya NURUTDINOVA,EUN,1:55.99
1530,50Km Race Walk,M,Barcelona,1992,G,Andrey PERLOV,EUN,3:50:13
1531,800M,W,Barcelona,1992,B,Ana Fidelia QUIROT,CUB,1:56.80
1532,Hammer Throw,M,Barcelona,1992,S,Igor ASTAPKOVICH,EUN,81.96
1533,Hammer Throw,M,Barcelona,1992,B,Igor NIKULIN,EUN,81.38
1534,10000M,W,Barcelona,1992,S,Elana MEYER,RSA,31:11.75
1535,5000M,M,Barcelona,1992,B,Fita BAYISSA,ETH,13:13.03
1536,5000M,M,Barcelona,1992,S,Paul BITOK,KEN,13:12.71
1537,5000M,M,Barcelona,1992,G,Dieter BAUMANN,GER,13:12.52
1538,Hammer Throw,M,Barcelona,1992,G,Andrey ABDUVALIEV,EUN,82.54
1539,400M,W,Barcelona,1992,B,Ximena RESTREPO,COL,49.64
1540,50Km Race Walk,M,Barcelona,1992,S,Carlos MERCENARIO,MEX,3:52:09
1541,4X400M Relay,W,Barcelona,1992,B,,GBR,3:24.23
1542,4X100M Relay,W,Barcelona,1992,B,,NGR,42.81
1543,4X100M Relay,W,Barcelona,1992,S,,EUN,42.16
1544,4X100M Relay,W,Barcelona,1992,G,,USA,42.11
1545,Decathlon,M,Barcelona,1992,B,Dave JOHNSON,USA,8309.0
1546,Decathlon,M,Barcelona,1992,S,Antonio PENALVER ASENSIO,ESP,8412.0
1547,Decathlon,M,Barcelona,1992,G,Robert ZMELÃK,TCH,8611.0
1548,50Km Race Walk,M,Barcelona,1992,B,Ronald WEIGEL,GER,3:53:45
1549,Discus Throw,M,Barcelona,1992,G,Romas UBARTAS,LTU,65.12
1550,Discus Throw,M,Barcelona,1992,B,Roberto MOYA,CUB,64.12
1551,800M,M,Barcelona,1992,B,Johnny GRAY,USA,1:43.97
1552,800M,M,Barcelona,1992,S,Nixon KIPROTICH,KEN,1:43.70
1553,800M,M,Barcelona,1992,G,William TANUI,KEN,1:43.66
1554,4X400M Relay,W,Barcelona,1992,G,,EUN,3:20.20
1555,4X400M Relay,W,Barcelona,1992,S,,USA,3:20.92
1556,Discus Throw,M,Barcelona,1992,S,JÃ¼rgen SCHULT,GER,64.94
1557,400M,W,Barcelona,1992,S,Olga BRYZGINA,EUN,49.05
1558,10000M,W,Barcelona,1992,G,Derartu TULU,ETH,31:06.02
1559,4X400M Relay,M,Barcelona,1992,S,,CUB,2:59.51
1560,4X400M Relay,M,Barcelona,1992,B,,GBR,2:59.73
1561,400M Hurdles,W,Barcelona,1992,B,Janeene VICKERS,USA,54.31
1562,400M Hurdles,W,Barcelona,1992,S,Sandra FARMER-PATRICK,USA,53.69
1563,400M,M,Barcelona,1992,B,Samson KITUR,KEN,44.24
1564,400M,M,Barcelona,1992,S,Steve LEWIS,USA,44.21
1565,400M,M,Barcelona,1992,G,Quincy WATTS,USA,43.5
1566,Heptathlon,W,Barcelona,1992,G,Jackie JOYNER,USA,7044 P.
1567,Heptathlon,W,Barcelona,1992,S,Irina BELOVA,EUN,6845.0
1568,Heptathlon,W,Barcelona,1992,B,Sabine BRAUN,GER,6649.0
1569,4X100M Relay,M,Barcelona,1992,G,,USA,37.4
1570,400M Hurdles,W,Barcelona,1992,G,Sally GUNNELL,GBR,53.23
1571,High Jump,M,Barcelona,1992,G,Javier SOTOMAYOR,CUB,2.34
1572,4X100M Relay,M,Barcelona,1992,B,,CUB,38.0
1573,Marathon,M,Barcelona,1992,B,Stephan FREIGANG,GER,2:14:00
1574,4X100M Relay,M,Barcelona,1992,S,,NGR,37.98
1575,400M,W,Barcelona,1992,G,Marie-JosÃ© PÃREC,FRA,48.83
1576,Discus Throw,W,Barcelona,1992,B,Daniela COSTIAN,AUS,66.24
1577,Marathon,M,Barcelona,1992,S,Koichi MORISHITA,JPN,2:13:45
1578,4X400M Relay,M,Barcelona,1992,G,,USA,2:55.74
1579,Discus Throw,W,Barcelona,1992,S,Tsvetanka KHRISTOVA,BUL,67.78
1580,Discus Throw,W,Barcelona,1992,G,Maritza MARTEN,CUB,70.06
1581,Shot Put,W,Atlanta,1996,G,Astrid KUMBERNUSS,GER,20.56
1582,400M,W,Atlanta,1996,S,Cathy FREEMAN,AUS,48.63
1583,400M,W,Atlanta,1996,B,Falilat OGUNKOYA,NGR,49.1
1584,Triple Jump,W,Atlanta,1996,G,Inessa KRAVETS,UKR,15.33
1585,Heptathlon,W,Atlanta,1996,S,Natalya SAZANOVICH,BLR,6563.0
1586,10000M,W,Atlanta,1996,B,Gete WAMI,ETH,31:06.65
1587,10000M,W,Atlanta,1996,S,Junxia WANG,CHN,31:02.58
1588,10000M,W,Atlanta,1996,G,Fernanda RIBEIRO,POR,31:01.63
1589,1500M,W,Atlanta,1996,G,Svetlana MASTERKOVA,RUS,4:00.83
1590,Heptathlon,W,Atlanta,1996,G,Ghada SHOUAA,SYR,6780.0
1591,Shot Put,W,Atlanta,1996,S,Xinmei SUI,CHN,19.88
1592,1500M,W,Atlanta,1996,S,Gabriela SZABO,ROU,4:01.54
1593,1500M,W,Atlanta,1996,B,Theresia KIESL,AUT,4:03.02
1594,4X100M Relay,W,Atlanta,1996,B,,JAM,42.24
1595,4X100M Relay,W,Atlanta,1996,S,,BAH,42.14
1596,4X100M Relay,W,Atlanta,1996,G,,USA,41.95
1597,400M,W,Atlanta,1996,G,Marie-JosÃ© PÃREC,FRA,48.25
1598,Shot Put,W,Atlanta,1996,B,Irina KHUDOROZHKINA,RUS,19.35
1599,Heptathlon,W,Atlanta,1996,B,Denise LEWIS,GBR,6489.0
1600,Discus Throw,W,Atlanta,1996,B,Ellina ZVEREVA,BLR,65.64
1601,Discus Throw,W,Atlanta,1996,G,Ilke WYLUDDA,GER,69.66
1602,Marathon,W,Atlanta,1996,S,Valentina YEGOROVA,RUS,2:28:05
1603,Javelin Throw,W,Atlanta,1996,G,Heli RANTANEN,FIN,67.94
1604,200M,W,Atlanta,1996,S,Merlene OTTEY,JAM,22.24
1605,200M,W,Atlanta,1996,G,Marie-JosÃ© PÃREC,FRA,22.12
1606,800M,W,Atlanta,1996,B,Maria MUTOLA,MOZ,1:58.71
1607,800M,W,Atlanta,1996,S,Ana Fidelia QUIROT,CUB,1:58.11
1608,800M,W,Atlanta,1996,G,Svetlana MASTERKOVA,RUS,1:57.73
