rank,name,org,sport,contract_val,avg_per_year,avg_per_game,num_years,duration,left,retired,not_guaranteed
65,Deshaun Watson,Houston Texans,American football,177500000,29583333,1740196,6,2020-2025,1,0,0
66,Ben Simmons,Philadelphia 76ers,Basketball,177243360,35448672,432301,5,2020-2025,1,0,0
67,Dansby Swanson,Chicago Cubs,Baseball,177000000,25285714,156085,7,2023-2029,0,0,0
68,Paul George,Los Angeles Clippers,Basketball,176265468,44066367,544029,4,2021-2025,0,0,0
68,Kawhi Leonard,Los Angeles Clippers,Basketball,176265152,44066288,544028,4,2021-2025,0,0,0
68,Damian Lillard,Portland Trail Blazers,Basketball,176265152,44066288,544028,4,2021-2025,0,0,0
71,Félix Hernández,Seattle Mariners,Baseball,175000000,25000000,154320,7,2013-2019,1,0,0
72,Stephen Strasburg,Washington Nationals,Baseball,175000000,25000000,154320,7,2017-2023,0,0,0
73,Marcus Semien,Texas Rangers,Baseball,175000000,25000000,154320,7,2022-2028,0,0,0
74,Shai Gilgeous-Alexander,Oklahoma City Thunder,Basketball,172550000,34510000,420854,5,2022-2027,0,0,0
75,Blake Griffin,Los Angeles Clippers,Basketball,171174820,34234964,417499,5,2017-2022,1,0,0
76,John Wall,Washington Wizards,Basketball,171174820,42793708,521874,4,2019-2023,1,0,0
77,Matt Olson,Atlanta Braves,Baseball,168000000,21000000,129630,8,2022-2029,0,0,0
78,Buster Posey,San Francisco Giants,Baseball,167000000,18555556,114540,9,2013-2021,0,1,0
79,Kevin Durant,Golden State Warriors,Basketball,164255700,41063925,500799,4,2019-2023,1,0,0
80,José Altuve,Houston Astros,Baseball,163500000,23357143,144179,7,2018-2024,0,0,0
81,Bam Adebayo,Miami Heat,Basketball,163000590,32600118,397562,5,2021-2026,0,0,0
81,De'Aaron Fox,Sacramento Kings,Basketball,163000590,32600118,397562,5,2021-2026,0,0,0
83,Donovan Mitchell,Utah Jazz,Basketball,163000590,32600118,397562,5,2021-2026,1,0,0
83,Jayson Tatum,Boston Celtics,Basketball,163000590,32600118,397562,5,2021-2026,0,0,0
85,Freddie Freeman,Los Angeles Dodgers,Baseball,162000000,27000000,166667,6,2022-2027,0,0,0
86,Brandon Nimmo,New York Mets,Baseball,162000000,20250000,125000,8,2023-2030,0,0,0
87,CC Sabathia,New York Yankees,Baseball,161000000,23000000,141975,7,2009-2015,1,1,0
88,Chris Davis,Baltimore Orioles,Baseball,161000000,23000000,141975,7,2016-2022,1,1,0
89,Manny Ramírez,Boston Red Sox,Baseball,160000000,20000000,123456,8,2001-2008,1,1,0
90,Matt Kemp,Los Angeles Dodgers,Baseball,160000000,20000000,123456,8,2012-2019,1,1,0
91,Dak Prescott,Dallas Cowboys,American football,160000000,40000000,2352941,4,2021-2024,0,0,1
92,Matthew Stafford,Los Angeles Rams,American football,160000000,40000000,2352941,4,2022-2026,0,0,1
93,Chris Paul,Houston Rockets,Basketball,159730592,39932648,486983,4,2018-2022,1,0,0
94,Devin Booker,Phoenix Suns,Basketball,158253000,31650600,385982,5,2018-2023,0,0,0
95,Kristaps Porzingis,Dallas Mavericks,Basketball,158253000,31650600,385982,5,2019-2024,1,0,0
95,Karl-Anthony Towns,Minnesota Timberwolves,Basketball,158253000,31650600,385982,5,2019-2024,0,0,0
97,Brandon Ingram,New Orleans Pelicans,Basketball,158253000,31650600,385982,5,2020-2025,0,0,0
97,Jamal Murray,Denver Nuggets,Basketball,158253000,31650600,385982,5,2020-2025,0,0,0
99,Troy Tulowitzki,Colorado Rockies,Baseball,157750000,15775000,97376,10,2011-2020,1,1,0
