Channel,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game_,stream_language
CBLOL,428193,169762,71366,360,6465,1625852.0,League of Legends,Portuguese
Cellbit,415089,20538,9452,2635,4945,593946.0,The Crooked Man,Portuguese
TheGrefg,407468,48028,11811,2070,14865,3034043.0,Minecraft,Spanish
Odablock,404997,4789,2412,10080,1418,587639.0,Old School RuneScape,English
runthefutmarket,400786,18546,10169,2365,11661,1106899.0,FIFA 23,English
Fextralife,400224,16865,9114,2635,-2011,2432216.0,Fall Guys: Ultimate Knockout,English
mistermv,396772,12759,7150,3330,1730,1160387.0,Special Events,French
ë¦´íŒŒ_,395214,25070,11107,2135,3830,1477504.0,Just Chatting,Korean
ZeratoR,389577,17448,8642,2705,190,1023002.0,World of Warcraft,French
GMHikaru,386029,44820,12288,1885,6369,1775439.0,Chess,English
Thebausffs,385678,23855,14740,1570,6068,921187.0,League of Legends,English
Ponce,384944,33459,10844,2130,1638,1405558.0,Maitre des Fleurs,French
VooDooSh,380507,11587,7462,3060,577,535541.0,Heroes of Might and Magic III: The Restoration of Erathia,Russian
LVNDMARK,365243,9614,6271,3495,1859,744191.0,Escape from Tarkov,English
